ID;Heure de début;Heure de fin;Adresse de messagerie;Nom;Estimez-vous être assez engagés dans la TEE ?;Quels seraient les éléments pour vous engager d'avantage dans cette voie ?;Quel(s) mode(s) de transport préconisez-vous auprès de vos employés ?;Encouragez-vous l'utilisation de transports peu polluant ?;Par quel(s) moyen(s) ?;Quelle est la source de l'énergie du système de chauffage de l'entreprise ?;Laissez-vous la lumière allumée hors des horaires de bureau ?;Disposez-vous d'un système d'extinction automatique des lumières ?;Si non, envisagez-vous d'en installer un ?;Disposez-vous de poubelles dédiées au recyclage ?;Si non, envisagez-vous d'en mettre ?;Nom de l'entreprise;SIREN;Email de la personne ayant répondu au questionnaire;Avis du client sur le questionnaire et notre démarche
61;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HCP PACKAGING FRANCE;810505305;molestie.in.tempus@massa.co.uk;4
62;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SHUN JI;501747539;mauris@a.org;4
63;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HDA;381994854;odio.Phasellus@pharetra.co.uk;4
64;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIA HOLDING;810943019;Phasellus.dolor.elit@pedeblanditcongue.net;4
65;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HDF BEAUTY;790527949;semper.tellus@iaculisenim.net;4
66;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIACKHASONE FRERES;438915779;libero.Proin.sed@vitaeposuere.edu;4
67;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HDF PARA;803048321;Integer@vitaesemperegestas.ca;4
68;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIAE;529251217;tempor@sedpedeCum.net;4
69;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HDN;844262931;vestibulum.neque.sed@porttitorvulputate.com;4
70;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HDN;775666357;consectetuer.adipiscing@enimnectempus.net;4
71;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIB FRANCE SYSTEME INFORMATIQ BUREAUTIQ;502752983;vulputate@orci.co.uk;4
72;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIBIOTECH;442326112;Sed.congue@nisiCumsociis.edu;4
73;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HDS;835053794;malesuada@Nam.edu;4
74;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIBM;791549900;commodo.auctor.velit@parturient.com;4
75;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HDW SEC;824193692;risus.Duis@malesuadavelconvallis.edu;4
76;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SICARA;441330818;arcu.ac.orci@nibhsitamet.net;4
77;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEALTH AND BIOTECH FRANCE (H & B FRANCE);489880625;id@Maurisnondui.com;4
78;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SICASOV;422006262;morbi@antedictummi.com;4
79;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEALTH CITY FRANCE;408182830;montes@Pellentesque.net;4
80;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SICASS EUROPE;448043307;Cras.vulputate@loremac.ca;4
81;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEALTH CONSULTING SERVICES INTERNATIONAL;391113776;mollis.lectus.pede@feugiat.edu;4
82;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SICCA IDF;844162453;Integer@pellentesquea.org;4
83;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEAT;488766510;euismod@necmalesuadaut.edu;4
84;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SICNL;478089592;Quisque.porttitor.eros@fringillaporttitorvulputate.com;4
85;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEATALY;494152325;Curabitur.egestas.nunc@imperdiet.co.uk;4
86;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIDIESE;413888850;Quisque.tincidunt.pede@natoquepenatibus.net;4
87;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEAVEN;848953204;lectus.Cum.sociis@enimcondimentumeget.ca;4
88;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIEL;801133760;ipsum.Curabitur.consequat@tortordictum.com;4
89;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HECHT FRANCE;380176016;vel.vulputate@Duiselementum.com;4
90;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIEN;832495980;quam@ProinmiAliquam.edu;4
91;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEDEOS;693001281;amet.ornare@felis.co.uk;4
92;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEDIOS PATRIMOINE;850461690;convallis.ligula@justonec.com;4
93;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIERRA-NET;38931184;ipsum.cursus@estmaurisrhoncus.com;4
94;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIGEM;424787901;placerat@elementumat.org;4
95;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;HEFED;480062553;imperdiet.non.vestibulum@nectempusmauris.ca;4
96;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Oui;N/A;"Bus/Tram;Vélo/rollers/trottinette;";Non;;Electrique, gaz;Oui;Non;Oui;Oui;;SIGHTLINE;492600523;tempor.est@metusVivamuseuismod.org;4
97;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Non;Promouvoir des initiatives auprès des employés afin qu'ils adoptent des comportants éco-responsables sur le lieu de travail;Aucun;Non;;Bois/Biomasse;Non;Oui;;Non;Oui;HEIMDALL;791254790;magnis.dis@Crasdolor.org;5
98;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Non;Promouvoir des initiatives auprès des employés afin qu'ils adoptent des comportants éco-responsables sur le lieu de travail;Aucun;Non;;Bois/Biomasse;Non;Oui;;Non;Oui;SIGN SERVICES;808094767;nisl@aultriciesadipiscing.edu;5
99;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Non;Promouvoir des initiatives auprès des employés afin qu'ils adoptent des comportants éco-responsables sur le lieu de travail;Aucun;Non;;Bois/Biomasse;Non;Oui;;Non;Oui;HELENE FRICOUT EURL D ARCHITECTURE;38844395;diam.dictum@eudolor.org;5
100;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Non;Promouvoir des initiatives auprès des employés afin qu'ils adoptent des comportants éco-responsables sur le lieu de travail;Aucun;Non;;Bois/Biomasse;Non;Oui;;Non;Oui;SIGNATURE ST GERMAIN DES PRES SARL;524082062;est.mollis.non@dapibusgravidaAliquam.net;5
101;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Non;Promouvoir des initiatives auprès des employés afin qu'ils adoptent des comportants éco-responsables sur le lieu de travail;Aucun;Non;;Bois/Biomasse;Non;Oui;;Non;Oui;HELENE K - HELENE GAINVILLE;482147899;sollicitudin@ac.com;5
102;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Non;Promouvoir des initiatives auprès des employés afin qu'ils adoptent des comportants éco-responsables sur le lieu de travail;Aucun;Non;;Bois/Biomasse;Non;Oui;;Non;Oui;SIGNATURES;511012643;In@orci.org;5
103;2/17/20 13:49:55;2/17/20 13:50:53;anonymous;;Non;Promouvoir des initiatives auprès des employés afin qu'ils adoptent des comportants éco-responsables sur le lieu de travail;Aucun;Non;;Bois/Biomasse;Non;Oui;;Non;Oui;HELIODORE;398292201;et@aliquet.net;5
